"동물번호","사진종류","사진번호","사진URL"
"1361","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1361","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1361","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1361","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1361","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1361","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1361","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1361&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"1263","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1263","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1263","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1263","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1263","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1263","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1263","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1263","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1263","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1263&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"1261","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1261","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1261","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1261","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1261","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1261","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1261","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1261","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1261","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1261&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"295","THUMB","14","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=295&fileTy=ADOPTTHUMB&fileNo=14&thumbTy=L"
"295","IMG","50","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=295&fileTy=ADOPTIMG&fileNo=50&thumbTy=L"
"295","IMG","51","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=295&fileTy=ADOPTIMG&fileNo=51&thumbTy=L"
"295","IMG","52","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=295&fileTy=ADOPTIMG&fileNo=52&thumbTy=L"
"295","IMG","53","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=295&fileTy=ADOPTIMG&fileNo=53&thumbTy=L"
"1121","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1121","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1121","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1121","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1121","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1121","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1121","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1121","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1121","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1121&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"257","THUMB","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=257&fileTy=ADOPTTHUMB&fileNo=4&thumbTy=L"
